Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
1,1.0,2023-10-25,31-216,DAL,@,SAS,W (+7),1,36,10.0,24.0,41.7%,1.0,8.0,12.5%,1.0,1.0,100.0%,0.0,2.0,2.0,6.0,1.0,0.0,2.0,3.0,22.0,11.8,1.0,Away
2,2.0,2023-10-27,31-218,DAL,,BRK,W (+5),1,33,6.0,17.0,35.3%,1.0,4.0,25.0%,4.0,4.0,100.0%,1.0,6.0,7.0,6.0,0.0,0.0,0.0,2.0,17.0,13.4,-7.0,Home
5,3.0,2023-11-03,31-225,DAL,@,DEN,L (-11),1,34,9.0,15.0,60.0%,1.0,5.0,20.0%,3.0,4.0,75.0%,0.0,1.0,1.0,7.0,4.0,2.0,3.0,1.0,22.0,21.9,-12.0,Away
6,4.0,2023-11-05,31-227,DAL,,CHO,W (+6),1,33,6.0,14.0,42.9%,2.0,6.0,33.3%,4.0,4.0,100.0%,0.0,3.0,3.0,10.0,1.0,1.0,2.0,3.0,18.0,17.0,8.0,Home
7,5.0,2023-11-06,31-228,DAL,@,ORL,W (+15),1,36,8.0,20.0,40.0%,2.0,6.0,33.3%,3.0,5.0,60.0%,1.0,5.0,6.0,10.0,3.0,0.0,3.0,2.0,21.0,17.8,18.0,Away
8,6.0,2023-11-08,31-230,DAL,,TOR,L (-11),1,35,8.0,19.0,42.1%,3.0,7.0,42.9%,3.0,3.0,100.0%,0.0,4.0,4.0,5.0,0.0,0.0,1.0,2.0,22.0,14.8,4.0,Home
9,7.0,2023-11-10,31-232,DAL,,LAC,W (+18),1,28,8.0,19.0,42.1%,5.0,9.0,55.6%,6.0,6.0,100.0%,3.0,3.0,6.0,3.0,2.0,0.0,2.0,1.0,27.0,21.6,12.0,Home
10,8.0,2023-11-12,31-234,DAL,@,NOP,W (+12),1,29,13.0,20.0,65.0%,7.0,10.0,70.0%,2.0,2.0,100.0%,1.0,5.0,6.0,7.0,0.0,1.0,1.0,1.0,35.0,32.6,9.0,Away
11,9.0,2023-11-14,31-236,DAL,@,NOP,L (-21),1,25,6.0,13.0,46.2%,3.0,7.0,42.9%,2.0,4.0,50.0%,1.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,17.0,13.3,-14.0,Away
13,10.0,2023-11-18,31-240,DAL,@,MIL,L (-7),1,33,16.0,29.0,55.2%,3.0,10.0,30.0%,4.0,4.0,100.0%,1.0,3.0,4.0,6.0,1.0,0.0,2.0,4.0,39.0,28.3,13.0,Away
