Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
1,1.0,2023-10-25,24-239,DAL,@,SAS,W (+7),1,34,13.0,25.0,52.0%,3.0,11.0,27.3%,4.0,7.0,57.1%,1.0,12.0,13.0,10.0,2.0,0.0,4.0,1.0,33.0,28.4,4,Away
2,2.0,2023-10-27,24-241,DAL,,BRK,W (+5),1,36,16.0,25.0,64.0%,9.0,14.0,64.3%,8.0,10.0,80.0%,1.0,9.0,10.0,7.0,0.0,0.0,0.0,1.0,49.0,45.0,9,Home
3,3.0,2023-10-30,24-244,DAL,@,MEM,W (+15),1,40,11.0,22.0,50.0%,6.0,12.0,50.0%,7.0,10.0,70.0%,0.0,12.0,12.0,12.0,1.0,1.0,6.0,4.0,35.0,28.9,6,Away
4,4.0,2023-11-01,24-246,DAL,,CHI,W (+9),1,40,5.0,16.0,31.3%,1.0,8.0,12.5%,7.0,9.0,77.8%,0.0,7.0,7.0,10.0,2.0,1.0,6.0,2.0,18.0,13.0,11,Home
5,5.0,2023-11-03,24-248,DAL,@,DEN,L (-11),1,38,11.0,24.0,45.8%,6.0,11.0,54.5%,6.0,7.0,85.7%,3.0,7.0,10.0,8.0,0.0,1.0,9.0,2.0,34.0,21.9,-4,Away
6,6.0,2023-11-05,24-250,DAL,,CHO,W (+6),1,36,8.0,19.0,42.1%,1.0,9.0,11.1%,6.0,7.0,85.7%,1.0,11.0,12.0,9.0,0.0,1.0,4.0,3.0,23.0,18.3,3,Home
7,7.0,2023-11-06,24-251,DAL,@,ORL,W (+15),1,35,9.0,17.0,52.9%,5.0,10.0,50.0%,6.0,6.0,100.0%,0.0,3.0,3.0,6.0,2.0,0.0,6.0,2.0,29.0,21.0,7,Away
8,8.0,2023-11-08,24-253,DAL,,TOR,L (-11),1,38,11.0,26.0,42.3%,2.0,10.0,20.0%,7.0,10.0,70.0%,0.0,7.0,7.0,8.0,4.0,1.0,4.0,3.0,31.0,23.2,-7,Home
9,9.0,2023-11-10,24-255,DAL,,LAC,W (+18),1,31,17.0,21.0,81.0%,6.0,9.0,66.7%,4.0,4.0,100.0%,0.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,44.0,41.7,32,Home
10,10.0,2023-11-12,24-257,DAL,@,NOP,W (+12),1,27,11.0,18.0,61.1%,4.0,9.0,44.4%,4.0,5.0,80.0%,0.0,4.0,4.0,9.0,1.0,0.0,2.0,0.0,30.0,27.9,14,Away
11,11.0,2023-11-14,24-259,DAL,@,NOP,L (-21),1,26,5.0,16.0,31.3%,3.0,5.0,60.0%,3.0,5.0,60.0%,1.0,1.0,2.0,2.0,0.0,0.0,8.0,0.0,16.0,0.4,-26,Away
12,12.0,2023-11-15,24-260,DAL,@,WAS,W (+13),1,32,7.0,18.0,38.9%,4.0,11.0,36.4%,8.0,12.0,66.7%,1.0,6.0,7.0,10.0,0.0,0.0,3.0,2.0,26.0,20.3,12,Away
13,13.0,2023-11-18,24-263,DAL,@,MIL,L (-7),1,35,15.0,26.0,57.7%,4.0,9.0,44.4%,1.0,4.0,25.0%,1.0,8.0,9.0,9.0,0.0,0.0,3.0,1.0,35.0,27.6,-17,Away
14,14.0,2023-11-19,24-264,DAL,,SAC,L (-16),1,31,7.0,19.0,36.8%,3.0,7.0,42.9%,8.0,10.0,80.0%,1.0,9.0,10.0,7.0,3.0,0.0,2.0,0.0,25.0,23.0,-14,Home
15,15.0,2023-11-22,24-267,DAL,@,LAL,W (+3),1,38,10.0,26.0,38.5%,3.0,12.0,25.0%,7.0,8.0,87.5%,0.0,12.0,12.0,8.0,2.0,0.0,0.0,2.0,30.0,25.8,-11,Away
16,16.0,2023-11-25,24-270,DAL,@,LAC,L (-19),1,38,12.0,27.0,44.4%,1.0,8.0,12.5%,5.0,5.0,100.0%,0.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,30.0,17.4,-14,Away
17,17.0,2023-11-28,24-273,DAL,,HOU,W (+6),1,37,15.0,29.0,51.7%,3.0,10.0,30.0%,8.0,9.0,88.9%,0.0,9.0,9.0,9.0,2.0,0.0,0.0,3.0,41.0,36.1,12,Home
19,18.0,2023-12-02,24-277,DAL,,OKC,L (-6),1,45,11.0,22.0,50.0%,5.0,13.0,38.5%,9.0,14.0,64.3%,2.0,13.0,15.0,18.0,2.0,2.0,7.0,2.0,36.0,36.5,-7,Home
20,19.0,2023-12-06,24-281,DAL,,UTA,W (+50),1,31,14.0,25.0,56.0%,6.0,12.0,50.0%,6.0,8.0,75.0%,2.0,8.0,10.0,11.0,1.0,0.0,4.0,2.0,40.0,35.0,34,Home
21,20.0,2023-12-08,24-283,DAL,@,POR,W (+13),1,41,11.0,28.0,39.3%,3.0,14.0,21.4%,7.0,8.0,87.5%,0.0,6.0,6.0,10.0,1.0,1.0,5.0,1.0,32.0,21.5,13,Away
22,21.0,2023-12-11,24-286,DAL,@,MEM,W (+7),1,43,9.0,21.0,42.9%,5.0,10.0,50.0%,12.0,13.0,92.3%,0.0,8.0,8.0,6.0,2.0,2.0,3.0,3.0,35.0,29.3,3,Away
23,22.0,2023-12-12,24-287,DAL,,LAL,W (+2),1,43,12.0,28.0,42.9%,3.0,10.0,30.0%,6.0,6.0,100.0%,0.0,6.0,6.0,17.0,1.0,0.0,4.0,0.0,33.0,28.9,10,Home
24,23.0,2023-12-14,24-289,DAL,,MIN,L (-18),1,39,15.0,27.0,55.6%,2.0,7.0,28.6%,7.0,7.0,100.0%,1.0,5.0,6.0,13.0,2.0,0.0,8.0,2.0,39.0,30.6,-12,Home
