Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
1,1.0,2023-10-25,25-236,BOS,@,NYK,W (+4),1,38,13.0,22.0,59.1%,3.0,8.0,37.5%,5.0,6.0,83.3%,0.0,11.0,11.0,4.0,2.0,1.0,4.0,3.0,34.0,27.0,0.0,Away
2,2.0,2023-10-27,25-238,BOS,,MIA,W (+8),1,41,9.0,22.0,40.9%,3.0,10.0,30.0%,1.0,3.0,33.3%,0.0,8.0,8.0,5.0,1.0,0.0,2.0,4.0,22.0,12.7,13.0,Home
3,3.0,2023-10-30,25-241,BOS,@,WAS,W (+19),1,27,14.0,21.0,66.7%,4.0,9.0,44.4%,1.0,1.0,100.0%,0.0,6.0,6.0,3.0,0.0,0.0,2.0,2.0,33.0,25.0,27.0,Away
4,4.0,2023-11-01,25-243,BOS,,IND,W (+51),1,26,9.0,15.0,60.0%,3.0,5.0,60.0%,9.0,10.0,90.0%,2.0,10.0,12.0,4.0,0.0,0.0,2.0,1.0,30.0,27.5,36.0,Home
5,5.0,2023-11-04,25-246,BOS,@,BRK,W (+10),1,40,10.0,20.0,50.0%,6.0,10.0,60.0%,6.0,6.0,100.0%,1.0,10.0,11.0,1.0,0.0,0.0,3.0,1.0,32.0,23.0,18.0,Away
6,6.0,2023-11-06,25-248,BOS,@,MIN,L (-5),1,42,12.0,22.0,54.5%,2.0,8.0,25.0%,6.0,8.0,75.0%,0.0,5.0,5.0,2.0,5.0,0.0,6.0,2.0,32.0,21.7,3.0,Away
7,7.0,2023-11-08,25-250,BOS,@,PHI,L (-3),1,37,6.0,14.0,42.9%,2.0,6.0,33.3%,2.0,3.0,66.7%,1.0,14.0,15.0,6.0,3.0,0.0,2.0,2.0,16.0,17.5,-1.0,Away
8,8.0,2023-11-10,25-252,BOS,,BRK,W (+14),1,33,6.0,17.0,35.3%,4.0,11.0,36.4%,7.0,9.0,77.8%,1.0,9.0,10.0,3.0,0.0,0.0,2.0,1.0,23.0,15.8,28.0,Home
9,9.0,2023-11-11,25-253,BOS,,TOR,W (+23),1,34,10.0,18.0,55.6%,3.0,9.0,33.3%,4.0,6.0,66.7%,0.0,5.0,5.0,4.0,0.0,1.0,1.0,2.0,27.0,20.8,42.0,Home
10,10.0,2023-11-13,25-255,BOS,,NYK,W (+16),1,39,13.0,23.0,56.5%,5.0,12.0,41.7%,4.0,5.0,80.0%,1.0,5.0,6.0,7.0,1.0,0.0,3.0,5.0,35.0,26.8,12.0,Home
11,11.0,2023-11-15,25-257,BOS,@,PHI,W (+10),1,38,10.0,23.0,43.5%,4.0,10.0,40.0%,5.0,6.0,83.3%,2.0,6.0,8.0,6.0,2.0,0.0,3.0,1.0,29.0,22.5,2.0,Away
13,13.0,2023-11-19,25-261,BOS,@,MEM,W (+2),1,35,7.0,13.0,53.8%,1.0,1.0,100.0%,5.0,6.0,83.3%,2.0,7.0,9.0,5.0,1.0,1.0,8.0,4.0,20.0,12.4,-1.0,Away
14,14.0,2023-11-20,25-262,BOS,@,CHO,L (-3),1,43,15.0,28.0,53.6%,7.0,15.0,46.7%,8.0,10.0,80.0%,0.0,13.0,13.0,6.0,0.0,2.0,3.0,1.0,45.0,36.7,-5.0,Away
15,15.0,2023-11-22,25-264,BOS,,MIL,W (+3),1,36,7.0,17.0,41.2%,2.0,9.0,22.2%,7.0,9.0,77.8%,0.0,11.0,11.0,4.0,0.0,1.0,2.0,2.0,23.0,17.1,-2.0,Home
16,16.0,2023-11-24,25-266,BOS,@,ORL,L (-17),1,38,7.0,16.0,43.8%,0.0,3.0,0.0%,12.0,13.0,92.3%,0.0,5.0,5.0,3.0,2.0,0.0,2.0,3.0,26.0,19.6,-21.0,Away
17,17.0,2023-11-26,25-268,BOS,,ATL,W (+10),1,38,11.0,25.0,44.0%,5.0,13.0,38.5%,7.0,10.0,70.0%,1.0,8.0,9.0,4.0,2.0,0.0,6.0,2.0,34.0,20.8,3.0,Home
18,18.0,2023-11-28,25-270,BOS,,CHI,W (+27),1,35,8.0,16.0,50.0%,2.0,8.0,25.0%,3.0,3.0,100.0%,1.0,6.0,7.0,4.0,0.0,0.0,4.0,2.0,21.0,13.5,18.0,Home
19,19.0,2023-12-01,25-273,BOS,,PHI,W (+6),1,27,6.0,9.0,66.7%,2.0,5.0,40.0%,7.0,9.0,77.8%,0.0,7.0,7.0,4.0,1.0,1.0,7.0,1.0,21.0,15.5,-7.0,Home
20,20.0,2023-12-04,25-276,BOS,@,IND,L (-10),1,37,13.0,26.0,50.0%,2.0,8.0,25.0%,4.0,7.0,57.1%,1.0,11.0,12.0,6.0,1.0,0.0,2.0,2.0,32.0,24.2,-14.0,Away
21,21.0,2023-12-08,25-280,BOS,,NYK,W (+10),1,38,8.0,18.0,44.4%,3.0,9.0,33.3%,6.0,8.0,75.0%,0.0,6.0,6.0,5.0,1.0,0.0,0.0,3.0,25.0,19.9,17.0,Home
22,22.0,2023-12-12,25-284,BOS,,CLE,W (+7),1,40,7.0,19.0,36.8%,2.0,9.0,22.2%,9.0,9.0,100.0%,0.0,10.0,10.0,5.0,0.0,2.0,4.0,3.0,25.0,17.2,9.0,Home
23,23.0,2023-12-14,25-286,BOS,,CLE,W (+9),1,36,9.0,22.0,40.9%,3.0,10.0,30.0%,6.0,8.0,75.0%,3.0,8.0,11.0,3.0,0.0,3.0,3.0,1.0,27.0,19.7,2.0,Home
24,24.0,2023-12-15,25-287,BOS,,ORL,W (+17),1,38,11.0,22.0,50.0%,2.0,9.0,22.2%,6.0,9.0,66.7%,0.0,6.0,6.0,4.0,0.0,0.0,2.0,3.0,30.0,19.2,14.0,Home
25,25.0,2023-12-17,25-289,BOS,,ORL,W (+17),1,30,8.0,21.0,38.1%,4.0,6.0,66.7%,3.0,4.0,75.0%,3.0,5.0,8.0,3.0,0.0,1.0,1.0,3.0,23.0,15.3,9.0,Home
26,26.0,2023-12-19,25-291,BOS,@,GSW,L (-6),1,40,5.0,17.0,29.4%,2.0,9.0,22.2%,3.0,3.0,100.0%,3.0,5.0,8.0,7.0,2.0,0.0,0.0,0.0,15.0,15.6,-9.0,Away
28,27.0,2023-12-23,25-295,BOS,@,LAC,W (+37),1,30,9.0,16.0,56.3%,5.0,10.0,50.0%,7.0,9.0,77.8%,0.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,30.0,23.2,19.0,Away
29,28.0,2023-12-25,25-297,BOS,@,LAL,W (+11),1,41,6.0,15.0,40.0%,1.0,6.0,16.7%,12.0,13.0,92.3%,0.0,8.0,8.0,7.0,0.0,1.0,1.0,0.0,25.0,23.5,10.0,Away
30,29.0,2023-12-28,25-300,BOS,,DET,W (+6),1,43,11.0,31.0,35.5%,2.0,11.0,18.2%,7.0,8.0,87.5%,2.0,5.0,7.0,10.0,5.0,0.0,3.0,4.0,31.0,23.6,10.0,Home
33,31.0,2024-01-02,25-305,BOS,@,OKC,L (-4),1,37,10.0,21.0,47.6%,2.0,5.0,40.0%,8.0,10.0,80.0%,5.0,8.0,13.0,8.0,1.0,0.0,4.0,3.0,30.0,25.8,0.0,Away
