Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,31-216,DAL,@,SAS,W (+7),1,36:15:00,10,24,0.417,1,8,0.125,1,1,1,0,2,2,6,1,0,2,3,22,11.8,1
2,2,2023-10-27,31-218,DAL,,BRK,W (+5),1,33:57:00,6,17,0.353,1,4,0.25,4,4,1,1,6,7,6,0,0,0,2,17,13.4,-7
3,,2023-10-30,31-221,DAL,@,MEM,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2023-11-01,31-223,DAL,,CHI,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
5,3,2023-11-03,31-225,DAL,@,DEN,L (-11),1,34:52:00,9,15,0.6,1,5,0.2,3,4,0.75,0,1,1,7,4,2,3,1,22,21.9,-12
6,4,2023-11-05,31-227,DAL,,CHO,W (+6),1,33:58:00,6,14,0.429,2,6,0.333,4,4,1,0,3,3,10,1,1,2,3,18,17,8
7,5,2023-11-06,31-228,DAL,@,ORL,W (+15),1,36:55:00,8,20,0.4,2,6,0.333,3,5,0.6,1,5,6,10,3,0,3,2,21,17.8,18
8,6,2023-11-08,31-230,DAL,,TOR,L (-11),1,35:52:00,8,19,0.421,3,7,0.429,3,3,1,0,4,4,5,0,0,1,2,22,14.8,4
9,7,2023-11-10,31-232,DAL,,LAC,W (+18),1,28:17:00,8,19,0.421,5,9,0.556,6,6,1,3,3,6,3,2,0,2,1,27,21.6,12
10,8,2023-11-12,31-234,DAL,@,NOP,W (+12),1,29:01:00,13,20,0.65,7,10,0.7,2,2,1,1,5,6,7,0,1,1,1,35,32.6,9
11,9,2023-11-14,31-236,DAL,@,NOP,L (-21),1,25:46:00,6,13,0.462,3,7,0.429,2,4,0.5,1,1,2,6,0,0,1,1,17,13.3,-14
12,,2023-11-15,31-237,DAL,@,WAS,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
13,10,2023-11-18,31-240,DAL,@,MIL,L (-7),1,33:42:00,16,29,0.552,3,10,0.3,4,4,1,1,3,4,6,1,0,2,4,39,28.3,13
14,11,2023-11-19,31-241,DAL,,SAC,L (-16),1,33:00:00,8,17,0.471,2,6,0.333,5,5,1,0,2,2,1,0,0,1,2,23,13.8,-19
15,12,2023-11-22,31-244,DAL,@,LAL,W (+3),1,34:48:00,11,22,0.5,4,8,0.5,2,2,1,1,5,6,2,2,0,2,0,28,20.6,14
16,13,2023-11-25,31-247,DAL,@,LAC,L (-19),1,32:11:00,11,22,0.5,3,7,0.429,1,1,1,0,6,6,3,1,0,1,3,26,17.7,1
17,14,2023-11-28,31-250,DAL,,HOU,W (+6),1,35:44:00,8,22,0.364,2,7,0.286,9,9,1,1,1,2,5,1,1,0,1,27,20.6,-9
18,15,2023-12-01,31-253,DAL,,MEM,L (-14),1,35:56:00,3,15,0.2,0,5,0,4,5,0.8,0,5,5,5,0,0,1,2,10,3.5,-6
19,,2023-12-02,31-254,DAL,,OKC,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
20,16,2023-12-06,31-258,DAL,,UTA,W (+50),1,27:11:00,11,16,0.688,4,7,0.571,0,0,,0,3,3,4,3,0,1,2,26,24.1,26
21,17,2023-12-08,31-260,DAL,@,POR,W (+13),1,13:21,4,6,0.667,0,0,,3,3,1,0,2,2,2,1,0,0,1,11,11,-10
22,,2023-12-11,31-263,DAL,@,MEM,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2023-12-12,31-264,DAL,,LAL,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2023-12-14,31-266,DAL,,MIN,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2023-12-16,31-268,DAL,@,POR,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2023-12-18,31-270,DAL,@,DEN,L (-26),Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2023-12-20,31-272,DAL,,LAC,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2023-12-22,31-274,DAL,@,HOU,L (-26),Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2023-12-23,31-275,DAL,,SAS,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2023-12-25,31-277,DAL,@,PHO,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2023-12-27,31-279,DAL,,CLE,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2023-12-28,31-280,DAL,@,MIN,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2023-12-30,31-282,DAL,@,GSW,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
34,18,2024-01-01,31-284,DAL,@,UTA,L (-37),1,32:11:00,6,14,0.429,2,3,0.667,0,1,0,1,8,9,4,0,1,1,3,14,10.6,-15
35,19,2024-01-03,31-286,DAL,,POR,W (+29),1,28:58:00,10,19,0.526,4,8,0.5,5,6,0.833,1,8,9,5,2,0,1,0,29,26.9,20
36,20,2024-01-05,31-288,DAL,,POR,W (+36),1,28:54:00,10,18,0.556,3,7,0.429,1,1,1,0,9,9,5,2,2,1,0,24,24,27
37,21,2024-01-07,31-290,DAL,,MIN,W (+7),1,39:17:00,14,27,0.519,6,8,0.75,1,1,1,5,3,8,5,3,2,3,2,35,30.2,6
38,22,2024-01-09,31-292,DAL,,MEM,L (-17),1,40:05:00,11,25,0.44,2,7,0.286,9,10,0.9,4,4,8,4,4,1,3,3,33,26.8,-2
39,23,2024-01-11,31-294,DAL,,NYK,W (+4),1,39:31:00,15,26,0.577,6,10,0.6,8,9,0.889,0,4,4,10,2,0,5,3,44,35.4,9
40,24,2024-01-13,31-296,DAL,,NOP,L (-10),1,40:19:00,12,27,0.444,5,14,0.357,4,4,1,0,5,5,6,1,0,1,2,33,23.8,-8
41,25,2024-01-15,31-298,DAL,,NOP,W (+5),1,41:24:00,13,28,0.464,3,9,0.333,13,15,0.867,0,7,7,7,0,1,3,1,42,31.1,7
42,26,2024-01-17,31-300,DAL,@,LAL,L (-17),1,32:14:00,4,16,0.25,1,5,0.2,3,3,1,0,5,5,6,0,0,2,2,12,5.3,-14
43,27,2024-01-22,31-305,DAL,,BOS,L (-9),1,35:50:00,9,20,0.45,3,7,0.429,2,2,1,0,6,6,3,2,0,1,3,23,16.3,0
44,,2024-01-24,31-307,DAL,,PHO,L (-23),Inactive,,,,,,,,,,,,,,,,,,,,,
45,,2024-01-26,31-309,DAL,@,ATL,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
46,,2024-01-27,31-310,DAL,,SAC,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
47,,2024-01-29,31-312,DAL,,ORL,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
48,,2024-01-31,31-314,DAL,@,MIN,L (-34),Inactive,,,,,,,,,,,,,,,,,,,,,
49,,2024-02-03,31-317,DAL,,MIL,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
50,28,2024-02-05,31-319,DAL,@,PHI,W (+16),1,34:37:00,10,17,0.588,2,3,0.667,1,1,1,1,4,5,8,2,1,1,4,23,22.7,15
51,29,2024-02-06,31-320,DAL,@,BRK,W (+12),1,39:40:00,15,24,0.625,6,10,0.6,0,0,,0,2,2,5,2,0,3,1,36,27.9,15
52,30,2024-02-08,31-322,DAL,@,NYK,W (+14),1,36:27:00,7,17,0.412,2,6,0.333,0,0,,0,5,5,6,0,0,2,3,16,9.4,12
53,31,2024-02-10,31-324,DAL,,OKC,W (+35),1,33:09:00,11,19,0.579,2,7,0.286,1,2,0.5,1,5,6,8,1,0,1,2,25,22.7,32
54,32,2024-02-12,31-326,DAL,,WAS,W (+8),1,42:54:00,10,19,0.526,2,7,0.286,4,6,0.667,1,6,7,4,0,2,2,3,26,19.4,3
55,33,2024-02-14,31-328,DAL,,SAS,W (+23),1,32:55:00,15,22,0.682,4,9,0.444,0,0,,1,8,9,7,2,1,1,1,34,33.9,17
56,34,2024-02-22,31-336,DAL,,PHO,W (+10),1,35:41:00,11,18,0.611,5,8,0.625,2,2,1,1,4,5,3,1,0,1,2,29,24,20
57,35,2024-02-25,31-339,DAL,@,IND,L (-22),1,32:09:00,10,22,0.455,3,7,0.429,6,6,1,0,6,6,2,0,0,1,0,29,19.8,-16
58,36,2024-02-27,31-341,DAL,@,CLE,L (-2),1,38:49:00,12,24,0.5,5,8,0.625,1,1,1,1,5,6,3,1,1,3,1,30,20.6,-8
59,37,2024-02-28,31-342,DAL,@,TOR,W (+11),1,35:28:00,11,20,0.55,2,6,0.333,5,5,1,0,1,1,3,2,1,1,4,29,21.9,0
60,38,2024-03-01,31-344,DAL,@,BOS,L (-28),1,36:49:00,9,23,0.391,1,7,0.143,0,0,,2,2,4,2,0,0,1,1,19,8.5,-15
