Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
1,Nikola Jokić,17,2023-24,28,DEN,79,79,1,2737,822,1411,739,1180,83,231,358,438,223,753,976,708,108,68,237,194,2085,0.583,0.626,0.359,0.817,0.65,0.612,C-F
2,Shai Gilgeous-Alexander,14.6,2023-24,25,OKC,75,75,1,2553,796,1487,701,1218,95,269,567,649,65,350,415,465,150,67,162,184,2254,0.535,0.576,0.353,0.874,0.636,0.567,G
3,Giannis Antetokounmpo,13.2,2023-24,29,MIL,73,73,1,2567,837,1369,803,1245,34,124,514,782,196,645,841,476,87,79,250,210,2222,0.611,0.645,0.274,0.657,0.649,0.624,F-G
4,Domantas Sabonis,12.6,2023-24,27,SAC,82,82,0,2928,634,1068,601,981,33,87,292,415,294,826,1120,673,74,48,272,250,1593,0.594,0.613,0.379,0.704,0.637,0.609,C-F
5,Luka Dončić,12,2023-24,24,DAL,70,70,1,2624,804,1652,520,908,284,744,478,608,59,588,647,686,99,38,282,149,2370,0.487,0.573,0.382,0.786,0.617,0.573,G-F
6,Anthony Davis,11.8,2023-24,30,LAL,76,76,1,2700,713,1283,684,1176,29,107,421,516,239,722,961,266,91,178,159,177,1876,0.556,0.582,0.271,0.816,0.621,0.567,F-C
7,Rudy Gobert,11.6,2023-24,31,MIN,76,76,0,2593,406,614,406,611,0,3,249,390,285,697,982,102,52,162,118,238,1061,0.661,0.664,0,0.638,0.675,0.661,C
8,Jalen Brunson,11.2,2023-24,27,NYK,77,77,1,2726,790,1648,579,1122,211,526,421,497,43,235,278,519,70,13,186,144,2212,0.479,0.516,0.401,0.847,0.592,0.543,G
9,Jarrett Allen,10.7,2023-24,25,CLE,77,77,0,2442,519,819,519,813,0,6,233,314,243,568,811,210,53,81,121,147,1271,0.634,0.638,0,0.742,0.664,0.634,C-F
10,Jayson Tatum,10.4,2023-24,25,BOS,74,74,1,2645,672,1426,443,817,229,609,414,497,67,534,601,364,75,43,188,145,1987,0.471,0.542,0.376,0.833,0.604,0.552,F
11,Devin Booker,9.2,2023-24,27,PHO,68,68,1,2447,642,1305,490,887,152,418,405,457,56,252,308,472,61,28,178,206,1841,0.492,0.552,0.364,0.886,0.611,0.55,G
12,DeMar DeRozan,9.2,2023-24,34,CHI,79,79,0,2989,650,1355,575,1130,75,225,522,612,43,297,340,421,90,45,135,161,1897,0.48,0.509,0.333,0.853,0.584,0.507,G-F
13,Jimmy Butler,9.1,2023-24,34,MIA,60,60,0,2042,396,793,336,648,60,145,394,459,105,213,318,298,79,17,102,68,1246,0.499,0.519,0.414,0.858,0.626,0.537,F-G
14,Tyrese Haliburton,9,2023-24,23,IND,69,68,1,2224,500,1048,305,513,195,535,194,227,35,236,271,752,83,48,159,75,1389,0.477,0.595,0.364,0.855,0.605,0.57,G
15,Chet Holmgren,8.9,2023-24,21,OKC,82,82,0,2413,505,953,376,604,129,349,218,275,129,519,648,200,53,190,131,197,1357,0.53,0.623,0.37,0.793,0.632,0.598,F-C
16,Kawhi Leonard,8.9,2023-24,32,LAC,68,68,1,2330,610,1162,470,826,140,336,253,286,84,332,416,244,111,59,119,97,1613,0.525,0.569,0.417,0.885,0.626,0.585,F
17,LeBron James,8.5,2023-24,39,LAL,71,71,1,2504,685,1269,536,906,149,363,303,404,61,457,518,589,89,38,245,78,1822,0.54,0.592,0.41,0.75,0.63,0.599,F-G
18,Derrick White,8.5,2023-24,29,BOS,73,73,0,2381,387,839,191,344,196,495,137,152,51,259,310,377,74,87,112,152,1107,0.461,0.555,0.396,0.901,0.611,0.578,G
19,Fred VanVleet,8.4,2023-24,29,HOU,73,73,0,2684,423,1018,196,432,227,586,197,229,33,245,278,589,101,59,126,183,1270,0.416,0.454,0.387,0.86,0.568,0.527,G
20,James Harden,8.4,2023-24,34,LAC,72,72,0,2470,352,822,166,334,186,488,302,344,34,335,369,614,77,57,185,127,1192,0.428,0.497,0.381,0.878,0.612,0.541,G
21,Kevin Durant,8.3,2023-24,35,PHO,75,75,1,2791,751,1436,583,1029,168,407,362,423,41,454,495,378,69,91,244,133,2032,0.523,0.567,0.413,0.856,0.626,0.581,F-G
22,Mike Conley,8.2,2023-24,36,MIN,76,76,0,2193,294,644,115,239,179,405,102,112,37,181,218,449,88,17,102,128,869,0.457,0.481,0.442,0.911,0.627,0.595,G
23,Tyrese Maxey,8.1,2023-24,23,PHI,70,70,1,2626,638,1419,426,850,212,569,328,378,36,222,258,433,69,33,116,151,1816,0.45,0.501,0.373,0.868,0.573,0.524,G
24,Isaiah Hartenstein,8.1,2023-24,25,NYK,75,49,0,1896,235,365,234,362,1,3,111,157,244,382,626,188,87,85,93,210,582,0.644,0.646,0.333,0.707,0.67,0.645,F
25,Kristaps Porziņģis,7.9,2023-24,28,BOS,57,57,0,1690,388,752,278,459,110,293,259,302,97,312,409,115,42,111,89,156,1145,0.516,0.606,0.375,0.858,0.647,0.589,F-C
26,Daniel Gafford,7.8,2023-24,25,"DAL,WAS",74,66,0,1815,348,480,348,480,0,0,118,175,195,367,562,115,65,153,74,227,814,0.725,0.725,,0.674,0.731,0.725,C-F
27,Damian Lillard,7.7,2023-24,33,MIL,73,73,1,2579,541,1277,321,655,220,622,473,514,36,284,320,508,72,18,193,134,1775,0.424,0.49,0.354,0.92,0.59,0.51,G
28,Zion Williamson,7.5,2023-24,23,NOP,70,70,0,2207,624,1094,618,1076,6,18,347,494,122,284,406,352,77,47,193,159,1601,0.57,0.574,0.333,0.702,0.61,0.573,F-C
29,Anthony Edwards,7.5,2023-24,22,MIN,79,78,1,2770,718,1558,528,1026,190,532,423,506,52,378,430,405,101,42,241,141,2049,0.461,0.515,0.357,0.836,0.575,0.522,G-F
30,Joel Embiid,7.5,2023-24,29,PHI,39,39,1,1309,450,851,396,712,54,139,399,452,95,335,430,219,46,66,150,112,1353,0.529,0.556,0.388,0.883,0.644,0.561,C
31,Paul George,7.3,2023-24,33,LAC,74,74,1,2502,582,1236,339,648,243,588,264,291,37,351,388,262,113,37,153,202,1671,0.471,0.523,0.413,0.907,0.613,0.569,F-G
32,Jalen Williams,7.3,2023-24,22,OKC,71,71,0,2223,536,993,433,752,103,241,180,221,37,245,282,322,80,45,123,175,1355,0.54,0.576,0.427,0.814,0.621,0.592,G
33,Bam Adebayo,7.2,2023-24,26,MIA,71,71,1,2416,530,1017,515,975,15,42,292,387,159,578,737,278,81,66,162,159,1367,0.521,0.528,0.357,0.755,0.576,0.529,C-F
34,Stephen Curry,7.2,2023-24,35,GSW,74,74,1,2421,650,1445,293,569,357,876,299,324,37,293,330,379,54,28,210,117,1956,0.45,0.515,0.408,0.923,0.616,0.573,G
35,Aaron Gordon,7.1,2023-24,28,DEN,73,73,0,2297,398,716,358,578,40,138,177,269,174,297,471,259,56,45,105,142,1013,0.556,0.619,0.29,0.658,0.607,0.584,F
36,Jonas Valančiūnas,7.1,2023-24,31,NOP,82,82,0,1925,402,719,365,599,37,120,161,205,186,535,721,173,32,68,111,218,1002,0.559,0.609,0.308,0.785,0.619,0.585,C
37,Alperen Sengun,6.9,2023-24,21,HOU,63,63,0,2046,527,982,494,871,33,111,244,352,183,406,589,312,76,46,162,211,1331,0.537,0.567,0.297,0.693,0.585,0.553,C-F
38,Kyrie Irving,6.9,2023-24,31,DAL,58,58,0,2030,562,1131,389,710,173,421,190,210,44,246,290,299,74,28,106,112,1487,0.497,0.548,0.411,0.905,0.608,0.573,G
39,Grayson Allen,6.9,2023-24,28,PHO,75,74,0,2513,340,682,135,237,205,445,129,147,48,247,295,227,69,45,95,157,1014,0.499,0.57,0.461,0.878,0.679,0.649,G
40,Pascal Siakam,6.9,2023-24,29,"IND,TOR",80,80,0,2657,681,1271,596,1025,85,246,290,396,139,426,565,342,63,25,141,193,1737,0.536,0.581,0.346,0.732,0.601,0.569,F-C
41,Ivica Zubac,6.8,2023-24,26,LAC,68,68,0,1794,337,519,337,519,0,0,120,166,196,430,626,93,22,83,79,180,794,0.649,0.649,,0.723,0.671,0.649,C
42,Nic Claxton,6.7,2023-24,24,BRK,71,71,0,2116,366,582,365,577,1,5,108,196,193,513,706,147,46,146,93,175,841,0.629,0.633,0.2,0.551,0.629,0.63,C
43,Donte DiVincenzo,6.6,2023-24,27,NYK,81,63,0,2360,445,1004,162,299,283,705,86,114,63,234,297,216,107,36,113,166,1259,0.443,0.542,0.401,0.754,0.597,0.584,G
44,De'Aaron Fox,6.5,2023-24,26,SAC,74,74,0,2659,720,1549,506,969,214,580,312,423,67,273,340,418,150,31,194,193,1966,0.465,0.522,0.369,0.738,0.567,0.534,G
45,Donovan Mitchell,6.4,2023-24,27,CLE,55,55,1,1942,503,1089,321,595,182,494,275,318,46,234,280,333,101,30,154,118,1463,0.462,0.539,0.368,0.865,0.595,0.545,G
46,Franz Wagner,6.4,2023-24,22,ORL,72,72,0,2337,528,1096,434,762,94,334,271,319,72,309,381,269,76,28,137,168,1421,0.482,0.57,0.281,0.85,0.575,0.525,G-F
47,Herbert Jones,6.3,2023-24,25,NOP,76,76,0,2321,293,588,179,315,114,273,137,158,74,198,272,199,105,62,93,224,837,0.498,0.568,0.418,0.867,0.636,0.595,F
48,Clint Capela,6.3,2023-24,29,ATL,73,73,0,1883,353,618,353,617,0,1,130,206,335,441,776,91,43,106,74,164,836,0.571,0.572,0,0.631,0.59,0.571,C
49,Jrue Holiday,6.3,2023-24,33,BOS,69,69,0,2263,331,689,193,367,138,322,60,72,84,289,373,333,61,53,124,108,860,0.48,0.526,0.429,0.833,0.597,0.581,G
